,pclass,survived,name,sex,age,ticket,ticketPrice
34,1,True,"bowen, miss. grace scott",female,45,PC 17608,262.375
35,1,True,"bowerman, miss. elsie edith",female,22,113505,55.0
36,1,False,"brady, mr. john bertram",male,41,113054,30.5
37,1,False,"brandeis, mr. emil",male,48,PC 17591,50.4958
38,1,True,"brown, mrs. james joseph (margaret tobin)",female,44,PC 17610,27.7208
39,1,True,"brown, mrs. john murray (caroline lane lamson)",female,59,11769,51.4792
40,1,True,"bucknell, mrs. william robert (emma eliza ward)",female,60,11813,76.2917
41,1,True,"burns, miss. elizabeth margaret",female,41,16966,134.5
42,1,False,"butt, major. archibald willingham",male,45,113050,26.55
43,1,True,"calderhead, mr. edward pennington",male,42,PC 17476,26.2875
44,1,True,"candee, mrs. edward (helen churchill hungerford)",female,53,PC 17606,27.4458
45,1,True,"cardeza, mr. thomas drake martinez",male,36,PC 17755,512.3292
46,1,True,"cardeza, mrs. james warburton martinez (charlotte wardle drake)",female,58,PC 17755,512.3292
47,1,False,"carlsson, mr. frans olof",male,33,695,5.0
48,1,False,"carrau, mr. francisco m",male,28,113059,47.1
49,1,False,"carrau, mr. jose pedro",male,17,113059,47.1
50,1,True,"carter, master. william thornton ii",male,11,113760,120.0
51,1,True,"carter, miss. lucile polk",female,14,113760,120.0
52,1,True,"carter, mr. william ernest",male,36,113760,120.0
53,1,True,"carter, mrs. william ernest (lucile polk)",female,36,113760,120.0
54,1,False,"case, mr. howard brown",male,49,19924,26.0
55,1,False,"cavendish, mr. tyrell william",male,36,19877,78.85
56,1,True,"cavendish, mrs. tyrell william (julia florence siegel)",female,76,19877,78.85
57,1,False,"chaffee, mr. herbert fuller",male,46,W.E.P. 5734,61.175
58,1,True,"chaffee, mrs. herbert fuller (carrie constance toogood)",female,47,W.E.P. 5734,61.175
59,1,True,"chambers, mr. norman campbell",male,27,113806,53.1
60,1,True,"chambers, mrs. norman campbell (bertha griggs)",female,33,113806,53.1
61,1,True,"chaudanson, miss. victorine",female,36,PC 17608,262.375
62,1,True,"cherry, miss. gladys",female,30,110152,86.5
63,1,True,"chevre, mr. paul romaine",male,45,PC 17594,29.7
64,1,False,"clark, mr. walter miller",male,27,13508,136.7792
65,1,True,"clark, mrs. walter miller (virginia mcdowell)",female,26,13508,136.7792
66,1,True,"cleaver, miss. alice",female,22,113781,151.55
67,1,False,"colley, mr. edward pomeroy",male,47,5727,25.5875
68,1,True,"compton, miss. sara rebecca",female,39,PC 17756,83.1583
69,1,False,"compton, mr. alexander taylor jr",male,37,PC 17756,83.1583
70,1,True,"compton, mrs. alexander taylor (mary eliza ingersoll)",female,64,PC 17756,83.1583
71,1,True,"cornell, mrs. robert clifford (malvina helen lamson)",female,55,11770,25.7
72,1,False,"crosby, capt. edward gifford",male,70,WE/P 5735,71.0
73,1,True,"crosby, miss. harriet r",female,36,WE/P 5735,71.0
74,1,True,"crosby, mrs. edward gifford (catherine elizabeth halstead)",female,64,112901,26.55
75,1,False,"cumings, mr. john bradley",male,39,PC 17599,71.2833
76,1,True,"cumings, mrs. john bradley (florence briggs thayer)",female,38,PC 17599,71.2833
77,1,True,"daly, mr. peter denis ",male,51,113055,26.55
78,1,True,"daniel, mr. robert williams",male,27,113804,30.5
79,1,True,"daniels, miss. sarah",female,33,113781,151.55
80,1,False,"davidson, mr. thornton",male,31,F.C. 12750,52.0
81,1,True,"davidson, mrs. thornton (orian hays)",female,27,F.C. 12750,52.0
82,1,True,"dick, mr. albert adrian",male,31,17474,57.0
83,1,True,"dick, mrs. albert adrian (vera gillespie)",female,17,17474,57.0
84,1,True,"dodge, dr. washington",male,53,33638,81.8583
85,1,True,"dodge, master. washington",male,4,33638,81.8583
86,1,True,"dodge, mrs. washington (ruth vidaver)",female,54,33638,81.8583
87,1,False,"douglas, mr. walter donald",male,50,PC 17761,106.425
88,1,True,"douglas, mrs. frederick charles (mary helene baxter)",female,27,PC 17558,247.5208
89,1,True,"douglas, mrs. walter donald (mahala dutton)",female,48,PC 17761,106.425
90,1,True,"duff gordon, lady. (lucille christiana sutherland) (""mrs morgan"")",female,48,11755,39.6
91,1,True,"duff gordon, sir. cosmo edmund (""mr morgan"")",male,49,PC 17485,56.9292
92,1,False,"dulles, mr. william crothers",male,39,PC 17580,29.7
93,1,True,"earnshaw, mrs. boulton (olive potter)",female,23,11767,83.1583
94,1,True,"endres, miss. caroline louise",female,38,PC 17757,227.525
95,1,True,"eustis, miss. elizabeth mussey",female,54,36947,78.2667
96,1,False,"evans, miss. edith corse",female,36,PC 17531,31.6792
97,1,True,"flynn, mr. john irwin (""irving"")",male,36,PC 17474,26.3875
98,1,False,"foreman, mr. benjamin laventall",male,30,113051,27.75
99,1,True,"fortune, miss. alice elizabeth",female,24,19950,263.0
100,1,True,"fortune, miss. ethel flora",female,28,19950,263.0
101,1,True,"fortune, miss. mabel helen",female,23,19950,263.0
102,1,False,"fortune, mr. charles alexander",male,19,19950,263.0
103,1,False,"fortune, mr. mark",male,64,19950,263.0
104,1,True,"fortune, mrs. mark (mary mcdougald)",female,60,19950,263.0
105,1,True,"francatelli, miss. laura mabel",female,30,PC 17485,56.9292
106,1,True,"frauenthal, dr. henry william",male,50,PC 17611,133.65
107,1,True,"frauenthal, mr. isaac gerald",male,43,17765,27.7208
108,1,True,"frolicher, miss. hedwig margaritha",female,22,13568,49.5
109,1,True,"frolicher-stehli, mr. maxmillian",male,60,13567,79.2
110,1,True,"frolicher-stehli, mrs. maxmillian (margaretha emerentia stehli)",female,48,13567,79.2
111,1,False,"futrelle, mr. jacques heath",male,37,113803,53.1
112,1,True,"futrelle, mrs. jacques heath (lily may peel)",female,35,113803,53.1
113,1,False,"gee, mr. arthur h",male,47,111320,38.5
114,1,True,"geiger, miss. amalie",female,35,113503,211.5
115,1,True,"gibson, miss. dorothy winifred",female,22,112378,59.4
116,1,True,"gibson, mrs. leonard (pauline c boeson)",female,45,112378,59.4
117,1,False,"giglio, mr. victor",male,24,PC 17593,79.2
118,1,True,"goldenberg, mr. samuel l",male,49,17453,89.1042
119,1,False,"goldschmidt, mr. george b",male,71,PC 17754,34.6542
120,1,True,"gracie, col. archibald iv",male,53,113780,28.5
121,1,True,"graham, miss. margaret edith",female,19,112053,30.0
122,1,False,"graham, mr. george edward",male,38,PC 17582,153.4625
123,1,True,"graham, mrs. william thompson (edith junkins)",female,58,PC 17582,153.4625
124,1,True,"greenfield, mr. william bertram",male,23,PC 17759,63.3583
125,1,True,"greenfield, mrs. leo david (blanche strouse)",female,45,PC 17759,63.3583
126,1,False,"guggenheim, mr. benjamin",male,46,PC 17593,79.2
127,1,True,"harder, mr. george achilles",male,25,11765,55.4417
128,1,True,"harder, mrs. george achilles (dorothy annan)",female,25,11765,55.4417
129,1,True,"harper, mr. henry sleeper",male,48,PC 17572,76.7292
130,1,True,"harper, mrs. henry sleeper (myna haxtun)",female,49,PC 17572,76.7292
131,1,False,"harris, mr. henry birkhardt",male,45,36973,83.475
132,1,True,"harris, mrs. henry birkhardt (irene wallach)",female,35,36973,83.475
133,1,False,"harrison, mr. william",male,40,112059,0.0
134,1,True,"hassab, mr. hammad",male,27,PC 17572,76.7292
135,1,True,"hays, miss. margaret bechstein",female,24,11767,83.1583
136,1,False,"hays, mr. charles melville",male,55,12749,93.5
137,1,True,"hays, mrs. charles melville (clara jennings gregg)",female,52,12749,93.5
138,1,False,"head, mr. christopher",male,42,113038,42.5
139,1,False,"hipkins, mr. william edward",male,55,680,50.0
140,1,True,"hippach, miss. jean gertrude",female,16,111361,57.9792
141,1,True,"hippach, mrs. louis albert (ida sophia fischer)",female,44,111361,57.9792
142,1,True,"hogeboom, mrs. john c (anna andrews)",female,51,13502,77.9583
143,1,False,"holverson, mr. alexander oskar",male,42,113789,52.0
144,1,True,"holverson, mrs. alexander oskar (mary aline towner)",female,35,113789,52.0
145,1,True,"homer, mr. harry (""mr e haven"")",male,35,111426,26.55
146,1,True,"hoyt, mr. frederick maxfield",male,38,19943,90.0
147,1,True,"hoyt, mrs. frederick maxfield (jane anne forby)",female,35,19943,90.0
148,1,True,"icard, miss. amelie",female,38,113572,80.0
149,1,False,"isham, miss. ann elizabeth",female,50,PC 17595,28.7125
150,1,True,"ismay, mr. joseph bruce",male,49,112058,0.0
151,1,False,"jones, mr. charles cresson",male,46,694,26.0
152,1,False,"julian, mr. henry forbes",male,50,113044,26.0
153,1,False,"keeping, mr. edwin",male,32,113503,211.5
154,1,False,"kent, mr. edward austin",male,58,11771,29.7
155,1,False,"kenyon, mr. frederick r",male,41,17464,51.8625
156,1,True,"kimball, mr. edwin nelson jr",male,42,11753,52.5542
157,1,True,"kimball, mrs. edwin nelson jr (gertrude parsons)",female,45,11753,52.5542
158,1,True,"kreuchen, miss. emilie",female,39,24160,211.3375
159,1,True,"leader, dr. alice (farnham)",female,49,17465,25.9292
160,1,True,"leroy, miss. bertha",female,30,PC 17761,106.425
161,1,True,"lesurer, mr. gustave j",male,35,PC 17755,512.3292
162,1,False,"lindeberg-lind, mr. erik gustaf (""mr edward lingrey"")",male,42,17475,26.55
163,1,True,"lindstrom, mrs. carl johan (sigrid posse)",female,55,112377,27.7208
164,1,True,"lines, miss. mary conover",female,16,PC 17592,39.4
165,1,True,"lines, mrs. ernest h (elizabeth lindsey james)",female,51,PC 17592,39.4
166,1,False,"long, mr. milton clyde",male,29,113501,30.0
167,1,True,"longley, miss. gretchen fiske",female,21,13502,77.9583
168,1,False,"loring, mr. joseph holland",male,30,113801,45.5
169,1,True,"lurette, miss. elise",female,58,PC 17569,146.5208
170,1,True,"madill, miss. georgette alexandra",female,15,24160,211.3375
171,1,False,"maguire, mr. john edward",male,30,110469,26.0
172,1,True,"maioni, miss. roberta",female,16,110152,86.5
173,1,False,"marvin, mr. daniel warner",male,19,113773,53.1
174,1,True,"marvin, mrs. daniel warner (mary graham carmichael farquarson)",female,18,113773,53.1
175,1,True,"mayne, mlle. berthe antonine (""mrs de villiers"")",female,24,PC 17482,49.5042
176,1,False,"mccaffry, mr. thomas francis",male,46,13050,75.2417
177,1,False,"mccarthy, mr. timothy j",male,54,17463,51.8625
178,1,True,"mcgough, mr. james robert",male,36,PC 17473,26.2875
179,1,False,"meyer, mr. edgar joseph",male,28,PC 17604,82.1708
180,1,False,"millet, mr. francis davis",male,65,13509,26.55
181,1,False,"minahan, dr. william edward",male,44,19928,90.0
182,1,True,"minahan, miss. daisy e",female,33,19928,90.0
183,1,True,"minahan, mrs. william edward (lillian e thorpe)",female,37,19928,90.0
184,1,True,"mock, mr. philipp edmund",male,30,13236,57.75
185,1,False,"molson, mr. harry markland",male,55,113787,30.5
186,1,False,"moore, mr. clarence bloomfield",male,47,113796,42.4
187,1,False,"natsch, mr. charles h",male,37,PC 17596,29.7
188,1,True,"newell, miss. madeleine",female,31,35273,113.275
189,1,True,"newell, miss. marjorie",female,23,35273,113.275
190,1,False,"newell, mr. arthur webster",male,58,35273,113.275
191,1,True,"newsom, miss. helen monypeny",female,19,11752,26.2833
192,1,False,"nicholson, mr. arthur ernest",male,64,693,26.0
193,1,True,"oliva y ocana, dona. fermina",female,39,PC 17758,108.9
194,1,True,"ostby, miss. helene ragnhild",female,22,113509,61.9792
195,1,False,"ostby, mr. engelhart cornelius",male,65,113509,61.9792
196,1,False,"ovies y rodriguez, mr. servando",male,28,PC 17562,27.7208
197,1,False,"partner, mr. austen",male,45,113043,28.5
198,1,False,"payne, mr. vivian ponsonby",male,23,12749,93.5
199,1,False,"pears, mr. thomas clinton",male,29,113776,66.6
200,1,True,"pears, mrs. thomas (edith wearne)",female,22,113776,66.6
201,1,False,"penasco y castellana, mr. victor de satode",male,18,PC 17758,108.9
202,1,True,"penasco y castellana, mrs. victor de satode (maria josefa perez de soto y vallejo)",female,17,PC 17758,108.9
203,1,True,"perreault, miss. anne",female,30,12749,93.5
204,1,True,"peuchen, major. arthur godfrey",male,52,113786,30.5
205,1,False,"porter, mr. walter chamberlain",male,47,110465,52.0
206,1,True,"potter, mrs. thomas jr (lily alexenia wilson)",female,56,11767,83.1583
207,1,False,"reuchlin, jonkheer. john george",male,38,19972,0.0
208,1,False,"ringhini, mr. sante",male,22,PC 17760,135.6333
209,1,True,"robert, mrs. edward scott (elisabeth walton mcmillan)",female,43,24160,211.3375
210,1,False,"roebling, mr. washington augustus ii",male,31,PC 17590,50.4958
211,1,True,"romaine, mr. charles hallace (""mr c rolmane"")",male,45,111428,26.55
212,1,True,"rosenbaum, miss. edith louise",female,33,PC 17613,27.7208
213,1,False,"rosenshine, mr. george (""mr george thorne"")",male,46,PC 17585,79.2
214,1,False,"ross, mr. john hugo",male,36,13049,40.125
215,1,True,"rothes, the countess. of (lucy noel martha dyer-edwards)",female,33,110152,86.5
216,1,False,"rothschild, mr. martin",male,55,PC 17603,59.4
217,1,True,"rothschild, mrs. martin (elizabeth l. barrett)",female,54,PC 17603,59.4
218,1,False,"rowe, mr. alfred g",male,33,113790,26.55
219,1,True,"ryerson, master. john borie",male,13,PC 17608,262.375
220,1,True,"ryerson, miss. emily borie",female,18,PC 17608,262.375
221,1,True,"ryerson, miss. susan parker ""suzette""",female,21,PC 17608,262.375
222,1,False,"ryerson, mr. arthur larned",male,61,PC 17608,262.375
223,1,True,"ryerson, mrs. arthur larned (emily maria borie)",female,48,PC 17608,262.375
224,1,True,"sagesser, mlle. emma",female,24,PC 17477,69.3
225,1,True,"schabert, mrs. paul (emma mock)",female,35,13236,57.75
226,1,True,"serepeca, miss. augusta",female,30,113798,31.0
227,1,True,"seward, mr. frederic kimber",male,34,113794,26.55
228,1,True,"shutes, miss. elizabeth w",female,40,PC 17582,153.4625
229,1,True,"silverthorne, mr. spencer victor",male,35,PC 17475,26.2875
230,1,False,"silvey, mr. william baird",male,50,13507,55.9
231,1,True,"silvey, mrs. william baird (alice munger)",female,39,13507,55.9
232,1,True,"simonius-blumer, col. oberst alfons",male,56,13213,35.5
233,1,True,"sloper, mr. william thompson",male,28,113788,35.5
234,1,False,"smart, mr. john montgomery",male,56,113792,26.55
235,1,False,"smith, mr. james clinch",male,56,17764,30.6958
236,1,False,"smith, mr. lucien philip",male,24,13695,60.0
237,1,True,"smith, mrs. lucien philip (mary eloise hughes)",female,18,13695,60.0
238,1,True,"snyder, mr. john pillsbury",male,24,21228,82.2667
239,1,True,"snyder, mrs. john pillsbury (nelle stevenson)",female,23,21228,82.2667
240,1,True,"spedden, master. robert douglas",male,6,16966,134.5
241,1,True,"spedden, mr. frederic oakley",male,45,16966,134.5
242,1,True,"spedden, mrs. frederic oakley (margaretta corning stone)",female,40,16966,134.5
243,1,False,"spencer, mr. william augustus",male,57,PC 17569,146.5208
244,1,True,"stahelin-maeglin, dr. max",male,32,13214,30.5
245,1,False,"stead, mr. william thomas",male,62,113514,26.55
246,1,True,"stengel, mr. charles emil henry",male,54,11778,55.4417
247,1,True,"stengel, mrs. charles emil henry (annie may morris)",female,43,11778,55.4417
248,1,True,"stephenson, mrs. walter bertram (martha eustis)",female,52,36947,78.2667
249,1,True,"stone, mrs. george nelson (martha evelyn)",female,62,113572,80.0
250,1,False,"straus, mr. isidor",male,67,PC 17483,221.7792
251,1,False,"straus, mrs. isidor (rosalie ida blun)",female,63,PC 17483,221.7792
252,1,False,"sutton, mr. frederick",male,61,36963,32.3208
253,1,True,"swift, mrs. frederick joel (margaret welles barron)",female,48,17466,25.9292
254,1,True,"taussig, miss. ruth",female,18,110413,79.65
255,1,False,"taussig, mr. emil",male,52,110413,79.65
256,1,True,"taussig, mrs. emil (tillie mandelbaum)",female,39,110413,79.65
257,1,True,"taylor, mr. elmer zebley",male,48,19996,52.0
258,1,False,"thayer, mr. john borland",male,49,17421,110.8833
259,1,True,"thayer, mr. john borland jr",male,17,17421,110.8833
260,1,True,"thayer, mrs. john borland (marian longstreth morris)",female,39,17421,110.8833
261,1,True,"tucker, mr. gilbert milligan jr",male,31,2543,28.5375
262,1,False,"uruchurtu, don. manuel e",male,40,PC 17601,27.7208
263,1,False,"van der hoef, mr. wyckoff",male,61,111240,33.5
264,1,False,"walker, mr. william anderson",male,47,36967,34.0208
265,1,True,"ward, miss. anna",female,35,PC 17755,512.3292
266,1,False,"warren, mr. frank manley",male,64,110813,75.25
267,1,True,"warren, mrs. frank manley (anna sophia atkinson)",female,60,110813,75.25
268,1,False,"weir, col. john",male,60,113800,26.55
269,1,False,"white, mr. percival wayland",male,54,35281,77.2875
270,1,False,"white, mr. richard frasar",male,21,35281,77.2875
271,1,True,"white, mrs. john stuart (ella holmes)",female,55,PC 17760,135.6333
272,1,True,"wick, miss. mary natalie",female,31,36928,164.8667
273,1,False,"wick, mr. george dennick",male,57,36928,164.8667
274,1,True,"wick, mrs. george dennick (mary hitchcock)",female,45,36928,164.8667
275,1,False,"widener, mr. george dunton",male,50,113503,211.5
276,1,False,"widener, mr. harry elkins",male,27,113503,211.5
277,1,True,"widener, mrs. george dunton (eleanor elkins)",female,50,113503,211.5
278,1,True,"willard, miss. constance",female,21,113795,26.55
279,1,False,"williams, mr. charles duane",male,51,PC 17597,61.3792
280,1,True,"williams, mr. richard norris ii",male,21,PC 17597,61.3792
281,1,True,"wilson, miss. helen alice",female,31,16966,134.5
282,1,False,"wright, mr. george",male,62,113807,26.55
283,1,True,"young, miss. marie grice",female,36,PC 17760,135.6333
284,2,False,"abelson, mr. samuel",male,30,P/PP 3381,24.0
285,2,True,"abelson, mrs. samuel (hannah wizosky)",female,28,P/PP 3381,24.0
286,2,False,"aldworth, mr. charles augustus",male,30,248744,13.0
287,2,False,"andrew, mr. edgardo samuel",male,18,231945,11.5
288,2,False,"andrew, mr. frank thomas",male,25,C.A. 34050,10.5
289,2,False,"angle, mr. william a",male,34,226875,26.0
290,2,True,"angle, mrs. william a (florence ""mary"" agnes hughes)",female,36,226875,26.0
291,2,False,"ashby, mr. john",male,57,244346,13.0
292,2,False,"bailey, mr. percy andrew",male,18,29108,11.5
293,2,False,"baimbrigge, mr. charles robert",male,23,C.A. 31030,10.5
294,2,True,"ball, mrs. (ada e hall)",female,36,28551,13.0
295,2,False,"banfield, mr. frederick james",male,28,C.A./SOTON 34068,10.5
296,2,False,"bateman, rev. robert james",male,51,S.O.P. 1166,12.525
297,2,True,"beane, mr. edward",male,32,2908,26.0
298,2,True,"beane, mrs. edward (ethel clarke)",female,19,2908,26.0
299,2,False,"beauchamp, mr. henry james",male,28,244358,26.0
300,2,True,"becker, master. richard f",male,1,230136,39.0
301,2,True,"becker, miss. marion louise",female,4,230136,39.0
302,2,True,"becker, miss. ruth elizabeth",female,12,230136,39.0
303,2,True,"becker, mrs. allen oliver (nellie e baumgardner)",female,36,230136,39.0
304,2,True,"beesley, mr. lawrence",male,34,248698,13.0
305,2,True,"bentham, miss. lilian w",female,19,28404,13.0
306,2,False,"berriman, mr. william john",male,23,28425,13.0
307,2,False,"botsford, mr. william hull",male,26,237670,13.0
308,2,False,"bowenur, mr. solomon",male,42,211535,13.0
309,2,False,"bracken, mr. james h",male,27,220367,13.0
310,2,True,"brown, miss. amelia ""mildred""",female,24,248733,13.0
311,2,True,"brown, miss. edith eileen",female,15,29750,39.0
312,2,False,"brown, mr. thomas william solomon",male,60,29750,39.0
313,2,True,"brown, mrs. thomas william solomon (elizabeth catherine ford)",female,40,29750,39.0
314,2,True,"bryhl, miss. dagmar jenny ingeborg ",female,20,236853,26.0
315,2,False,"bryhl, mr. kurt arnold gottfrid",male,25,236853,26.0
316,2,True,"buss, miss. kate",female,36,27849,13.0
317,2,False,"butler, mr. reginald fenton",male,25,234686,13.0
318,2,False,"byles, rev. thomas roussel davids",male,42,244310,13.0
319,2,True,"bystrom, mrs. (karolina)",female,42,236852,13.0
320,2,True,"caldwell, master. alden gates",male,0,248738,29.0
321,2,True,"caldwell, mr. albert francis",male,26,248738,29.0
322,2,True,"caldwell, mrs. albert francis (sylvia mae harbaugh)",female,22,248738,29.0
323,2,True,"cameron, miss. clear annie",female,35,F.C.C. 13528,21.0
324,2,False,"carbines, mr. william",male,19,28424,13.0
325,2,False,"carter, mrs. ernest courtenay (lilian hughes)",female,44,244252,26.0
326,2,False,"carter, rev. ernest courtenay",male,54,244252,26.0
327,2,False,"chapman, mr. charles henry",male,52,248731,13.5
328,2,False,"chapman, mr. john henry",male,37,SC/AH 29037,26.0
329,2,False,"chapman, mrs. john henry (sara elizabeth lawry)",female,29,SC/AH 29037,26.0
330,2,True,"christy, miss. julie rachel",female,25,237789,30.0
331,2,True,"christy, mrs. (alice frances)",female,45,237789,30.0
332,2,False,"clarke, mr. charles valentine",male,29,2003,26.0
333,2,True,"clarke, mrs. charles v (ada maria winfield)",female,28,2003,26.0
334,2,False,"coleridge, mr. reginald charles",male,29,W./C. 14263,10.5
335,2,False,"collander, mr. erik gustaf",male,28,248740,13.0
336,2,True,"collett, mr. sidney c stuart",male,24,28034,10.5
337,2,True,"collyer, miss. marjorie ""lottie""",female,8,C.A. 31921,26.25
338,2,False,"collyer, mr. harvey",male,31,C.A. 31921,26.25
339,2,True,"collyer, mrs. harvey (charlotte annie tate)",female,31,C.A. 31921,26.25
340,2,True,"cook, mrs. (selena rogers)",female,22,W./C. 14266,10.5
341,2,False,"corbett, mrs. walter h (irene colvin)",female,30,237249,13.0
342,2,False,"cotterill, mr. henry ""harry""",male,21,29107,11.5
343,2,True,"davies, master. john morgan jr",male,8,C.A. 33112,36.75
344,2,False,"davies, mr. charles henry",male,18,S.O.C. 14879,73.5
345,2,True,"davies, mrs. john morgan (elizabeth agnes mary white) ",female,48,C.A. 33112,36.75
346,2,True,"davis, miss. mary",female,28,237668,13.0
347,2,False,"de brito, mr. jose joaquim",male,32,244360,13.0
348,2,False,"deacon, mr. percy william",male,17,S.O.C. 14879,73.5
349,2,False,"del carlo, mr. sebastiano",male,29,SC/PARIS 2167,27.7208
350,2,True,"del carlo, mrs. sebastiano (argenia genovesi)",female,24,SC/PARIS 2167,27.7208
351,2,False,"denbury, mr. herbert",male,25,C.A. 31029,31.5
352,2,False,"dibden, mr. william",male,18,S.O.C. 14879,73.5
353,2,True,"doling, miss. elsie",female,18,231919,23.0
354,2,True,"doling, mrs. john t (ada julia bone)",female,34,231919,23.0
355,2,False,"downton, mr. william james",male,54,28403,26.0
356,2,True,"drew, master. marshall brines",male,8,28220,32.5
357,2,False,"drew, mr. james vivian",male,42,28220,32.5
358,2,True,"drew, mrs. james vivian (lulu thorne christian)",female,34,28220,32.5
359,2,True,"duran y more, miss. asuncion",female,27,SC/PARIS 2149,13.8583
360,2,True,"duran y more, miss. florentina",female,30,SC/PARIS 2148,13.8583
361,2,False,"eitemiller, mr. george floyd",male,23,29751,13.0
362,2,False,"enander, mr. ingvar",male,21,236854,13.0
363,2,False,"fahlstrom, mr. arne jonas",male,18,236171,13.0
364,2,False,"faunthorpe, mr. harry",male,40,2926,26.0
365,2,True,"faunthorpe, mrs. lizzie (elizabeth anne wilkinson)",female,29,2926,26.0
366,2,False,"fillbrook, mr. joseph charles",male,18,C.A. 15185,10.5
367,2,False,"fox, mr. stanley hubert",male,36,229236,13.0
368,2,False,"funk, miss. annie clemmer",female,38,237671,13.0
369,2,False,"fynney, mr. joseph j",male,35,239865,26.0
370,2,False,"gale, mr. harry",male,38,28664,21.0
371,2,False,"gale, mr. shadrach",male,34,28664,21.0
372,2,True,"garside, miss. ethel",female,34,243880,13.0
373,2,False,"gaskell, mr. alfred",male,16,239865,26.0
374,2,False,"gavey, mr. lawrence",male,26,31028,10.5
375,2,False,"gilbert, mr. william",male,47,C.A. 30769,10.5
376,2,False,"giles, mr. edgar",male,21,28133,11.5
377,2,False,"giles, mr. frederick edward",male,21,28134,11.5
378,2,False,"giles, mr. ralph",male,24,248726,13.5
379,2,False,"gill, mr. john william",male,24,233866,13.0
380,2,False,"gillespie, mr. william henry",male,34,12233,13.0
381,2,False,"givard, mr. hans kristensen",male,30,250646,13.0
382,2,False,"greenberg, mr. samuel",male,52,250647,13.0
383,2,False,"hale, mr. reginald",male,30,250653,13.0
384,2,True,"hamalainen, master. viljo",male,0,250649,14.5
385,2,True,"hamalainen, mrs. william (anna)",female,24,250649,14.5
386,2,False,"harbeck, mr. william h",male,44,248746,13.0
387,2,True,"harper, miss. annie jessie ""nina""",female,6,248727,33.0
388,2,False,"harper, rev. john",male,28,248727,33.0
389,2,True,"harris, mr. george",male,62,S.W./PP 752,10.5
390,2,False,"harris, mr. walter",male,30,W/C 14208,10.5
391,2,True,"hart, miss. eva miriam",female,7,F.C.C. 13529,26.25
392,2,False,"hart, mr. benjamin",male,43,F.C.C. 13529,26.25
393,2,True,"hart, mrs. benjamin (esther ada bloomfield)",female,45,F.C.C. 13529,26.25
394,2,True,"herman, miss. alice",female,24,220845,65.0
395,2,True,"herman, miss. kate",female,24,220845,65.0
396,2,False,"herman, mr. samuel",male,49,220845,65.0
397,2,True,"herman, mrs. samuel (jane laver)",female,48,220845,65.0
398,2,True,"hewlett, mrs. (mary d kingcome) ",female,55,248706,16.0
399,2,False,"hickman, mr. leonard mark",male,24,S.O.C. 14879,73.5
400,2,False,"hickman, mr. lewis",male,32,S.O.C. 14879,73.5
401,2,False,"hickman, mr. stanley george",male,21,S.O.C. 14879,73.5
402,2,False,"hiltunen, miss. marta",female,18,250650,13.0
403,2,True,"hocking, miss. ellen ""nellie""",female,20,29105,23.0
404,2,False,"hocking, mr. richard george",male,23,29104,11.5
